<pygame.event.peek> 0.184359 0.184359 179411 0
<code object make_icon at 0x7fc3c305edb0, file "/media/neve/nout/Projects/Jehuti/_src/gam_canvasicons.py", line 79> 0.221209 0.178985 4 0
<pygame.event.get> 0.178785 0.178785 179411 0
<method 'blit' of 'pygame.Surface' objects> 0.13002 0.13002 2544 0
<pygame.display.update> 0.119337 0.119337 18 0
<pygame.mask.from_surface> 0.080535 0.080535 58 0
<pygame.imageext.load_extended> 0.050041 0.050041 8 0
<code object make_circle at 0x7fc3c82c48b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvasicons.py", line 30> 0.056897 0.04988 4 0
<scipy.ndimage._nd_image.correlate1d> 0.047146 0.047146 46 0
<method 'fill' of 'pygame.Surface' objects> 0.037362 0.037362 189 0
<pygame.transform.smoothscale> 0.020548 0.020548 29 0
<min> 0.012576 0.012576 48589 0
<code object rint at 0x7fc3ea3676b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_globals.py", line 246> 0.015613 0.010621 21904 0
<method 'convert_alpha' of 'pygame.Surface' objects> 0.008449 0.008449 16 0
<code object make_surface at 0x7fc3c305eab0, file "/media/neve/nout/Projects/Jehuti/_src/gam_canvasicons.py", line 20> 0.009365 0.008269 2 0
<math.hypot> 0.007777 0.007777 22342 0
<code object __init__ at 0x7fc3e8bc3030, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 15> 0.132918 0.007491 2 0
<code object make_surface at 0x7fc3c82cb030, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvasicons.py", line 115> 0.008117 0.006897 3 0
<code object canvas at 0x7fc3c877f430, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 636> 0.006658 0.006624 2 0
<eval> 0.005544 0.00536 351 0
<numpy.core.multiarray.array> 0.005316 0.005316 2033 0
<pygame.pixelcopy.surface_to_array> 0.00519 0.00519 23 0
<round> 0.004998 0.004998 21909 0
<math.tanh> 0.004945 0.004945 21904 0
<range> 0.00471 0.00471 11781 0
<code object abspos at 0x7fc3ea354130, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 348> 0.005638 0.004577 1189 790
<code object __init__ at 0x7fc3c82db630, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_basecanvas.py", line 157> 0.019623 0.00343 1 0
<code object write at 0x7fc3ea344530, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 588> 0.046312 0.003279 72 0
<code object pgu_writen at 0x7fc3ea367630, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_globals.py", line 223> 0.014822 0.003008 64 0
<code object set_image at 0x7fc3ea354530, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 373> 0.013348 0.002659 66 0
<method 'copy' of 'pygame.Surface' objects> 0.002616 0.002616 92 0
<code object import_analyze at 0x7fc3cd44f530, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 151> 0.009416 0.002501 1320 489
<hasattr> 0.002448 0.002445 4808 0
<code object blur at 0x7fc3cd695b30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_effects.py", line 15> 0.062469 0.002407 23 0
<method 'convert' of 'pygame.Surface' objects> 0.00224 0.00224 41 0
<code object end_make at 0x7fc3cd44f830, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 269> 0.017193 0.002205 40 8
<code object explore_file at 0x7fc3cd44f3b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 95> 0.003988 0.002173 4 0
<posix.listdir> 0.00216 0.00216 12 0
<code object mousepos at 0x7fc3ea354230, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 363> 0.005228 0.0018 198 132
<code object skin at 0x7fc3e8bba9b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_windows.py", line 213> 0.054112 0.001796 18 0
<code object rect_update at 0x7fc3e8bc3730, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 108> 0.004069 0.001694 83 0
<math.sqrt> 0.001588 0.001588 5476 0
<math.sin> 0.001569 0.001569 5476 0
<code object gaussian_filter1d at 0x7fc3c8f032b0, file "/usr/lib/python2.7/dist-packages/scipy/ndimage/filters.py", line 179> 0.050525 0.001544 46 0
<method 'astype' of 'numpy.ndarray' objects> 0.001526 0.001526 23 0
<pygame.pixelcopy.array_to_surface> 0.001514 0.001514 23 0
<pygame.mouse.set_cursor> 0.00151 0.00151 2 0
<method 'reduce' of 'numpy.ufunc' objects> 0.001503 0.001503 144 0
<math.copysign> 0.001472 0.001472 5476 0
<code object deepcopy at 0x7fc3d32b28b0, file "/usr/lib/python2.7/copy.py", line 145> 0.003208 0.00146 768 707
<code object draw at 0x7fc3e8bc3bb0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 200> 0.037635 0.001441 56 3
<abs> 0.001401 0.001401 10848 0
<code object redraw at 0x7fc3ea344730, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 672> 0.047983 0.00135 21 0
<open> 0.001289 0.001289 9 0
<method 'render' of 'pygame.font.Font' objects> 0.001062 0.001062 118 0
<code object mouse_pos at 0x7fc3ea3513b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 115> 0.00115 0.001059 66 0
<isinstance> 0.001033 0.001033 3841 0
<code object make_faces at 0x7fc3c302ff30, file "/media/neve/nout/Projects/Jehuti/_src/gam_cast_view.py", line 37> 0.1249 0.001005 12 6
<code object render at 0x7fc3ea340db0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfields.py", line 271> 0.014755 0.000879 132 0
<code object event at 0x7fc3ea3b7c30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_gui.py", line 480> 0.742026 0.000759 80 0
<code object find at 0x7fc3cd44f630, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 195> 0.000714 0.000714 2344 0
<code object __init__ at 0x7fc3e8b564b0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 625> 0.001121 0.0007 321 0
<code object start_make at 0x7fc3cd44f7b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 233> 0.004978 0.000693 33 0
<code object add at 0x7fc3cd454bb0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 779> 0.003382 0.000686 44 8
<method 'get' of 'dict' objects> 0.00068 0.00068 4104 0
<method 'size' of 'pygame.font.Font' objects> 0.00067 0.00067 64 0
<code object get_info at 0x7fc3cd4545b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 641> 0.002073 0.000639 93 7
<code object _keep_alive at 0x7fc3d32b2bb0, file "/usr/lib/python2.7/copy.py", line 267> 0.00078 0.000621 713 0
<code object event at 0x7fc3c8784f30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_canvas.py", line 852> 0.042144 0.000616 66 0
<code object create at 0x7fc3ea34d2b0, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_complete.py", line 101> 0.302784 0.000576 31 0
<max> 0.000581 0.00057 510 7
<code object <lambda> at 0x7fc3cd44f430, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_data.py", line 181> 0.00194 0.000565 489 193
<code object update at 0x7fc3e8b54ab0, file "/usr/lib/python2.7/dist-packages/pygame/sprite.py", line 452> 0.015376 0.000565 120 37
<code object paint at 0x7fc3e8bbaa30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_windows.py", line 309> 0.106093 0.000565 18 0
<code object mrg at 0x7fc3e8bc3830, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_winfieldcont.py", line 118> 0.001264 0.000535 193 0
<code object __init__ at 0x7fc3ea351a30, file "/media/neve/nout/Projects/Jehuti/_src/graphview/gv_ui_basics.py", line 231> 0.000908 0.000533 54 0
